item_id,email,name,description,condition,type
2094,usr279@gt.edu,Kimble,"Finland  Two standard dice within a clear plastic "pop-o-matic" dome in the center of the board.","Damaged/Missing parts","Board Game"
2095,usr280@gt.edu,"Stronghold Kingdoms","Firefly Studios","Like New","Computer Game"
2096,usr280@gt.edu,"Terror ","Kris Silver   ","Moderately Used","Card Game"
2097,usr280@gt.edu,"Pokemon Stadium Gold SilverJP","Nintendo EAD   Nintendo",Mint,"Video Game"
2098,usr280@gt.edu,"Nightmare Creatures","Kalisto Entertainment   Activision","Moderately Used","Video Game"
2099,usr280@gt.edu,Monopoly,"Board game   EA Bright Light","Moderately Used","Video Game"
2100,usr280@gt.edu,"Namco Museum 64","Namco   ","Moderately Used","Video Game"
2101,usr280@gt.edu,"A Detective's Novel",NULL,"Lightly Used","Computer Game"
2102,usr280@gt.edu,"PD Ultraman Battle Collection 64","Bandai   Bandai Games","Damaged/Missing parts","Video Game"
2103,usr280@gt.edu,Dixie,"Columbia Games   ","Like New","Card Game"
2104,usr280@gt.edu,"Assyrian Wars","Udo Grebe Gamedesign  2005","Moderately Used","Board Game"
2105,usr280@gt.edu,"The Peloponnesian War",NULL,"Heavily Used","Board Game"
2106,usr280@gt.edu,"Marvel: Ultimate Alliance","Action RPG   Raven Software","Damaged/Missing parts","Video Game"
2107,usr281@gt.edu,"The Terminator ","Precedence Entertainment/Tyranny Games/Zehrapushu/ZI Games   ","Heavily Used","Card Game"
2108,usr281@gt.edu,"Marvel: Ultimate Alliance 2","Action RPG   Raven Software","Heavily Used","Video Game"
2109,usr281@gt.edu,"Max: The Curse of Brotherhood","Action & Adventure   Press Play","Moderately Used","Video Game"
2110,usr281@gt.edu,"Madden NFL 15",NULL,"Lightly Used","Video Game"
2111,usr281@gt.edu,"Baldur's Gate II: Throne of Bhaal",NULL,"Moderately Used","Computer Game"
2112,usr281@gt.edu,"The Elder Scrolls Adventures: Redguard",NULL,"Heavily Used","Computer Game"
2113,usr281@gt.edu,"NFL Blitz Special Edition","Point of View   Midway Home Entertainment","Moderately Used","Video Game"
2114,usr281@gt.edu,"Build Divide TCG","Bandai Namco.   ","Lightly Used","Card Game"
2115,usr281@gt.edu,Infogrames,"Ocean SoftwareNA   ",Mint,"Video Game"
2116,usr281@gt.edu,"Bella Sara","Hidden City Games/Conceptcard   ","Lightly Used","Card Game"
2117,usr282@gt.edu,"Stormfront Studios","EA Sports   Racing/Automobile",Mint,"Video Game"
2118,usr282@gt.edu,"The Eye of Judgment ","SCE Japan   ","Moderately Used","Card Game"
2119,usr282@gt.edu,"World of Warcraft: Wrath of the Lich King","Blizzard Entertainment","Damaged/Missing parts","Computer Game"
2120,usr282@gt.edu,"Street Racing Syndicate'","Eutechnyx   Namco","Damaged/Missing parts","Computer Game"
2121,usr283@gt.edu,"Space Station 13","SS13 Development Team","Heavily Used","Computer Game"
2122,usr283@gt.edu,"Starsiege: Tribes","Dynamix   Sierra On-Line","Damaged/Missing parts","Computer Game"
2123,usr283@gt.edu,"Initial D Collectible Card Game","AEG   ","Lightly Used","Card Game"
2124,usr283@gt.edu,"Megamind: Ultimate Showdown","Action   THQ",Mint,"Video Game"
2125,usr283@gt.edu,"Monopoly Deal",NULL,"Lightly Used","Video Game"
2126,usr283@gt.edu,"Survivor ",NULL,"Heavily Used","Card Game"
2127,usr283@gt.edu,"Saints Row 2","Volition, CD Projekt (Windows)   THQ","Like New","Computer Game"
2128,usr283@gt.edu,Corunea,NULL,"Like New","Card Game"
2129,usr284@gt.edu,"Power Rangers Lightspeed Rescue",NULL,"Heavily Used","Video Game"
2130,usr284@gt.edu,"Assassin's Creed Origins",NULL,"Like New","Computer Game"
2131,usr284@gt.edu,"Megamind: Ultimate Showdown","Action   THQ","Damaged/Missing parts","Video Game"
2132,usr284@gt.edu,"Hellenes: Campaigns of the Peloponnesian War","GMT Games  2009","Moderately Used","Board Game"
2133,usr285@gt.edu,"Aldnoah Zero","based on the television and print series created by Olympus Knights and A-1 Pictures   ","Like New","Card Game"
2134,usr285@gt.edu,"Star Wars: Knights of the Old Republic II  The Sith Lords","Obsidian Entertainment   LucasArts","Lightly Used","Computer Game"
2135,usr285@gt.edu,"Terror ","Kris Silver   ","Heavily Used","Card Game"
2136,usr285@gt.edu,"Jissen Pachi-Slot Hisshouhou! Hokuto no Ken F - Seikimatsu Kyuuseishu Densetsu","Sega   May 31, 2012","Lightly Used","Video Game"
2137,usr286@gt.edu,"Explore Space","Jigsaw Puzzle By Ravensburger NEW",Mint,"Jigsaw Puzzle"
2138,usr286@gt.edu,Monopoly,NULL,Mint,"Video Game"
2139,usr286@gt.edu,"Avatar: The Last Airbender Trading Card Game","by Upper Deck   ","Lightly Used","Card Game"
2140,usr286@gt.edu,"Jurassic Park: The Game","Telltale Games   November 15, 2011","Like New","Video Game"
2141,usr286@gt.edu,Chaupar,"India  Six thrown cowry shells, or three four-sided long dice","Heavily Used","Board Game"
2142,usr286@gt.edu,"Batman: Arkham Origins","WB Games Montr�al, Splash Damage   Warner Bros. Interactive Entertainment","Moderately Used","Computer Game"
2143,usr287@gt.edu,"Time Traveler","Andrea Farnham (art and tricks)","Like New","Jigsaw Puzzle"
2144,usr287@gt.edu,"Attack on Titan 2","Omega Force   Koei Tecmo","Damaged/Missing parts","Computer Game"
2145,usr287@gt.edu,"Kamen Rider Battride War 2","Bandai Namco Games   June 24, 2014",Mint,"Video Game"
2146,usr287@gt.edu,"Doctor Who  Battles in Time ","GE Fabbri   ","Heavily Used","Card Game"
2147,usr287@gt.edu,Trouble,"United States  Two standard dice within a clear plastic "pop-o-matic" dome in the center of the board.","Lightly Used","Board Game"
2148,usr287@gt.edu,"Might & Magic: Clash of Heroes HD","Role Playing   Capybara Games",Mint,"Video Game"
2149,usr287@gt.edu,"Peter Pan & the Irate Pirate","Molly Delaney (art)","Damaged/Missing parts","Jigsaw Puzzle"
2150,usr288@gt.edu,"A Boy and His Blob","Abstraction Games, WayForward   Midnight City, Majesco,","Like New","Computer Game"
2151,usr288@gt.edu,"Madden NFL 17","Sports   EA Tiburon",Mint,"Video Game"
2152,usr288@gt.edu,"NFL Quarterback Club 2000","Acclaim Studios Austin   Acclaim Sports","Heavily Used","Video Game"
2153,usr288@gt.edu,"Queens of the Ocean ","Jigsaw Puzzle By Ravensburger NEW","Damaged/Missing parts","Jigsaw Puzzle"
2154,usr288@gt.edu,ParaWorld,"SEK   Sunflowers","Moderately Used","Computer Game"
2155,usr289@gt.edu,"Act of War: Direct Action","Eugen Systems   Atari, Inc.","Lightly Used","Computer Game"
2156,usr289@gt.edu,"Michael Phelps: Push The Limit","   Blitz Games Studios",Mint,"Video Game"
2157,usr289@gt.edu,"Premier Manager 64","Dinamic Multimedia   Gremlin Interactive","Damaged/Missing parts","Video Game"
2158,usr289@gt.edu,"Max Payne 3","Third-person Shooter   Rockstar Vancouver","Damaged/Missing parts","Video Game"
2159,usr289@gt.edu,"Premier Manager 64","Dinamic Multimedia   Gremlin Interactive","Moderately Used","Video Game"
2160,usr289@gt.edu,"Oh My Goddess!","based on the Japanese manga series written and illustrated by Kosuke Fujishima   ","Heavily Used","Card Game"
2161,usr289@gt.edu,"Enchantimals ","Jigsaw Puzzle By Ravensburger NEW","Heavily Used","Jigsaw Puzzle"
2162,usr290@gt.edu,"Madden NFL 10","Sports   EA Tiburon","Heavily Used","Video Game"
2163,usr290@gt.edu,"NBA Pro '98PAL",NULL,"Like New","Video Game"
2164,usr290@gt.edu,Trireme,"Battleline Publications  1979","Heavily Used","Board Game"
2165,usr291@gt.edu,"Puyo Puyon Party","Compile   Compile","Damaged/Missing parts","Video Game"
2166,usr291@gt.edu,"Black Mesa","Crowbar Collective","Moderately Used","Computer Game"
2167,usr291@gt.edu,Alteil,"Flash-based online collectible card game produced by Japanese studio Dex Entertainment   ","Damaged/Missing parts","Card Game"
2168,usr291@gt.edu,"Suzanne Stofflet (riddles)",16/50,"Moderately Used","Jigsaw Puzzle"
2169,usr291@gt.edu,"ARMA: Armed Assault","Bohemia Interactive   505 Games","Moderately Used","Computer Game"
2170,usr291@gt.edu,"A Bloody Night",NULL,"Moderately Used","Computer Game"
2171,usr291@gt.edu,"Ganbare Goemon Derodero Dochu Obake Tenko MoriJP","KCEO   Konami","Like New","Video Game"
2172,usr291@gt.edu,"Doctor Who: The Collectible Trading Card Game","M.M.G. Ltd.   ","Lightly Used","Card Game"
2173,usr291@gt.edu,"Cardfight!! Vanguard","Bushiroad   ","Lightly Used","Card Game"
2174,usr291@gt.edu,"Battles of the Ancient World: Marathon & Granicus","Decision Games  2003","Moderately Used","Board Game"
2175,usr291@gt.edu,"Blade Strangers","Studio Saizensen   Nicalis","Heavily Used","Computer Game"
2176,usr292@gt.edu,Parcheesi,"United States  Two six-sided dice","Moderately Used","Board Game"
2177,usr292@gt.edu,"Kaijudo	","Wizards of the Coast   ","Damaged/Missing parts","Card Game"
2178,usr292@gt.edu,Ludo,"England  Single six-sided die","Lightly Used","Board Game"
2179,usr292@gt.edu,"Fullmetal Alchemist Trading Card Game ",NULL,"Lightly Used","Card Game"
2180,usr292@gt.edu,"World of Tanks",Wargaming,Mint,"Computer Game"
2181,usr292@gt.edu,"Xiaolin Showdown Trading Card Game ","Wizards of the Coast   ","Damaged/Missing parts","Card Game"
2182,usr292@gt.edu,"Aces of the Galaxy","Artech Digital Entertainment   Vivendi Games","Lightly Used","Computer Game"
2183,usr292@gt.edu,"Galactic Empires","Companion Games   ","Lightly Used","Card Game"
2184,usr292@gt.edu,"StarCraft: Brood War","Blizzard Entertainment Saffire   Blizzard Entertainment",Mint,"Computer Game"
2185,usr292@gt.edu,"Kaijudo	","Wizards of the Coast   ",Mint,"Card Game"
2186,usr293@gt.edu,"Major League Baseball 2K12","Sports   Visual Concepts","Damaged/Missing parts","Video Game"
2187,usr293@gt.edu,"Kane & Lynch: Dead Men","IO Interactive   July 10, 2008","Lightly Used","Video Game"
2188,usr293@gt.edu,"NFL Quarterback Club 98",NULL,"Damaged/Missing parts","Video Game"
2189,usr294@gt.edu,"Mega Man 9","Action & Adventure   Inti Creates/Capcom","Like New","Video Game"
2190,usr294@gt.edu,"Donkey Kong card game","Nintendo   ","Lightly Used","Card Game"
2191,usr294@gt.edu,Infogrames,NULL,"Lightly Used","Video Game"
2192,usr294@gt.edu,Borderlands,NULL,"Heavily Used","Computer Game"
2193,usr294@gt.edu,"Ganbare Goemon: Neo Momoyama Bakufu no OdoriJP","KCEO   Konami","Heavily Used","Video Game"
2194,usr294@gt.edu,"Hercules: The Legendary Journeys ","Wizards of the Coast   ","Moderately Used","Card Game"
2195,usr295@gt.edu,"Apex Legends","Respawn Entertainment   Electronic Arts","Moderately Used","Computer Game"
2196,usr295@gt.edu,"Mortal Kombat Mythologies: Sub-Zero","Midway Games   ","Lightly Used","Video Game"
2197,usr295@gt.edu,"Mirror's Edge","Action-adventure, Platform,   Digital Illusions CE","Heavily Used","Video Game"
2198,usr295@gt.edu,"The Crow ",NULL,"Moderately Used","Card Game"
2199,usr295@gt.edu,"NFL Blitz 2001","Point of View   Midway Home Entertainment","Lightly Used","Video Game"
2200,usr295@gt.edu,"Ace Online","MasangSoft Inc.   Many","Heavily Used","Computer Game"
2201,usr295@gt.edu,"Final Fantasy Trading Card Game ","Hobby Japan/Last Level/Square Enix/Neo Productions Unlimited   ",Mint,"Card Game"
2202,usr295@gt.edu,"Peter Pan & the Irate Pirate","Molly Delaney (art)",Mint,"Jigsaw Puzzle"
2203,usr296@gt.edu,"Police Quest: SWAT 2","Yosemite Entertainment   Sierra FX","Damaged/Missing parts","Computer Game"
2204,usr296@gt.edu,Afterlife,LucasArts,"Like New","Computer Game"
2205,usr296@gt.edu,"A Game of Thrones: Genesis","Cyanide   Focus Home Interactive","Moderately Used","Computer Game"
2206,usr296@gt.edu,"Beyond Divinity",NULL,"Heavily Used","Computer Game"
2207,usr296@gt.edu,"NBA Jam 99","Iguana West   Acclaim Sports","Lightly Used","Video Game"
2208,usr296@gt.edu,"Xena: Warrior Princess ","Wizards of the Coast   ","Heavily Used","Card Game"
2209,usr297@gt.edu,"Baldur's Gate: Tales of the Sword Coast","BioWare   Black Isle Studios, Interplay Entertainment","Damaged/Missing parts","Computer Game"
2210,usr297@gt.edu,"Medal of Honor","First-person Shooter   Danger Close Games",Mint,"Video Game"
2211,usr297@gt.edu,"Acceleration of Suguri X Edition",NULL,"Heavily Used","Computer Game"
2212,usr297@gt.edu,"Land Ahoy! ","Floor Jigsaw Puzzle By Ravensburger NEW","Lightly Used","Jigsaw Puzzle"
2213,usr297@gt.edu,"Magic: The Gathering 2013","Card & Board   Stainless Games",Mint,"Video Game"
2214,usr297@gt.edu,"Nushi Tsuri 64","DDL   Pack-In-Soft",Mint,"Video Game"
2215,usr297@gt.edu,Successors,"Avalon Hill  1997","Heavily Used","Board Game"
2216,usr298@gt.edu,"Major League Baseball 2K7",NULL,"Like New","Video Game"
2217,usr298@gt.edu,NintendoNA/PAL,"Action/2D Platformer   1997-06-27JP",Mint,"Video Game"
2218,usr298@gt.edu,"Just Dance 2015","Ubisoft Paris   ",Mint,"Video Game"
2219,usr298@gt.edu,"Madden NFL 15",NULL,"Like New","Video Game"
2220,usr298@gt.edu,"Pools of Darkness","Strategic Simulations, Inc., MicroMagic, Inc., Marionette (PC9800)   Strategic Simulations, Inc., Pony Canyon (PC9800)","Lightly Used","Computer Game"
2221,usr298@gt.edu,"The Garbage Gang ","Topps   ",Mint,"Card Game"
2222,usr298@gt.edu,"Michael Jackson: The Experience","   Ubisoft Montreal","Lightly Used","Video Game"
2223,usr298@gt.edu,"Betrayal at Krondor",NULL,"Moderately Used","Computer Game"
2224,usr298@gt.edu,"Jak 3 HD","Naughty Dog   February 22, 2012","Lightly Used","Video Game"
2225,usr299@gt.edu,Legion,"Simulations Publications, Inc.  1975","Damaged/Missing parts","Board Game"
2226,usr299@gt.edu,"Kamen Rider Battride War 2","Bandai Namco Games   June 24, 2014","Moderately Used","Video Game"
2227,usr299@gt.edu,"Future Card Buddyfight	","Bushiroad   ","Damaged/Missing parts","Card Game"
2228,usr300@gt.edu,BioShock,"2K Boston, 2K Australia   2K Games","Damaged/Missing parts","Computer Game"
2229,usr300@gt.edu,"Empire Earth","Stainless Steel Studios   Sierra Entertainment","Heavily Used","Computer Game"
2230,usr300@gt.edu,"Madden NFL Arcade","Sports & Recreation   EA Tiburon","Heavily Used","Video Game"
2231,usr300@gt.edu,"7th Sea","an out-of-print collectible card game (CCG) produced by Alderac Entertainment Group (AEG)   ","Lightly Used","Card Game"
2232,usr301@gt.edu,"ARMA 3","Bohemia Interactive","Moderately Used","Computer Game"
2233,usr301@gt.edu,"Flesh & Blood ","Legend Story Studios   ","Like New","Card Game"
2234,usr301@gt.edu,"Battleground 9: Chickamauga",TalonSoft,"Lightly Used","Computer Game"
2235,usr301@gt.edu,"RockMan Dash: Hagane no BoukenshinJP","Capcom Production Studio 2   Capcom","Damaged/Missing parts","Video Game"
2236,usr301@gt.edu,"Agatha Christie: Evil Under the Sun","AWE Productions   The Adventure Company","Damaged/Missing parts","Computer Game"
2237,usr301@gt.edu,"BioShock 2","2K Marin   2K Games","Like New","Computer Game"
2238,usr301@gt.edu,"Playboy: The Mansion","Cyberlore Studios   Arush Entertainment, Groove Games","Heavily Used","Computer Game"
2239,usr301@gt.edu,"The Dozens ",NULL,Mint,"Card Game"
2240,usr301@gt.edu,"Cyberpunk The Collectible Card Game","Social Games/ImageNative Worlds Inc./R. Talsorian Games Inc.   ","Moderately Used","Card Game"
2241,usr301@gt.edu,"Peter Pan & the Irate Pirate","Molly Delaney (art)","Lightly Used","Jigsaw Puzzle"
2242,usr301@gt.edu,Achron,"Hazardous Software, Inc.","Moderately Used","Computer Game"
2243,usr302@gt.edu,"Land Ahoy! ","Floor Jigsaw Puzzle By Ravensburger NEW","Damaged/Missing parts","Jigsaw Puzzle"
2244,usr302@gt.edu,"Hello Doggie ","Large Format Jigsaw Puzzle By Ravensburger NEW","Heavily Used","Jigsaw Puzzle"
2245,usr302@gt.edu,"Ultimate Pixar ",NULL,"Moderately Used","Jigsaw Puzzle"
2246,usr302@gt.edu,"Inazuma Eleven ","Tomy   ","Heavily Used","Card Game"
2247,usr302@gt.edu,"A Game of Thrones ","Fantasy Flight Games   ","Damaged/Missing parts","Card Game"
2248,usr302@gt.edu,"Assassin's Creed Syndicate","Ubisoft Montreal   Ubisoft","Damaged/Missing parts","Computer Game"
2249,usr302@gt.edu,"Xeko ","Matter Group   ",Mint,"Card Game"
2250,usr302@gt.edu,"Devacurse Trading Card Game ","Gandharvas Studio   ","Damaged/Missing parts","Card Game"
2251,usr302@gt.edu,"Beam Breakers","Similis Software GmbH   JoWooD Productions Software","Moderately Used","Computer Game"
2252,usr303@gt.edu,"Big Ben: Night Edition ",NULL,Mint,"Jigsaw Puzzle"
2253,usr303@gt.edu,"A Butterfly in the District of Dreams","Life a Little   Sekai Project","Heavily Used","Computer Game"
2254,usr303@gt.edu,"Middle-earth: Shadow of Mordor","Action role-playing game   Monolith Productions","Like New","Video Game"
2255,usr303@gt.edu,"Aces of the Pacific","Dynamix   Sierra Entertainment","Moderately Used","Computer Game"
2256,usr303@gt.edu,"Mega Man 9","Action & Adventure   Inti Creates/Capcom",Mint,"Video Game"
2257,usr304@gt.edu,"Thomas and Friends: Thomas & Ashima ","Floor Puzzle By Ravensburger","Heavily Used","Jigsaw Puzzle"
2258,usr304@gt.edu,"Prince of Persia: Warrior Within",NULL,"Heavily Used","Computer Game"
2259,usr304@gt.edu,"Ashte kashte","Bengal, India  Four thrown cowry shells","Damaged/Missing parts","Board Game"
2260,usr304@gt.edu,"Pixel Piracy","Quadro Delta   Re-Logic","Lightly Used","Computer Game"
2261,usr304@gt.edu,"Pokemon TCG Online",NULL,"Heavily Used","Computer Game"
2262,usr305@gt.edu,"A to Zap! Featuring the Sunbuddies",NULL,"Moderately Used","Computer Game"
2263,usr305@gt.edu,"Cricket Attax",NULL,"Damaged/Missing parts","Card Game"
2264,usr305@gt.edu,"Age of Empires: The Rise of Rome","Ensemble Studios   Microsoft Game Studios","Lightly Used","Computer Game"
2265,usr305@gt.edu,"A Hat in Time","Gears for Breakfast","Like New","Computer Game"
2266,usr305@gt.edu,"Pilotwings 64","Nintendo EAD   ",Mint,"Video Game"
2267,usr305@gt.edu,"A-10 Cuba!","Parsoft Interactive   Activision","Moderately Used","Computer Game"
2268,usr305@gt.edu,"Age of Wonders II: The Wizard's Throne","Triumph Studios   Take Two Interactive","Moderately Used","Computer Game"
2269,usr305@gt.edu,"Silkroad Online","Joymax   Joymax, Yahoo!","Damaged/Missing parts","Computer Game"
2270,usr305@gt.edu,"Harry Potter Trading Card Game","Wizards of the Coast   ","Damaged/Missing parts","Card Game"
2271,usr305@gt.edu,Juju,"Flying Wild Hog   Unreleased",Mint,"Video Game"
2272,usr305@gt.edu,"Ganbare Goemon: Neo Momoyama Bakufu no OdoriJP","KCEO   Konami","Damaged/Missing parts","Video Game"
2273,usr306@gt.edu,"Action Quake 2","The A-Team","Damaged/Missing parts","Computer Game"
2274,usr306@gt.edu,"Metro: Last Light","Survival Horror, First-person Shooter   4A Games","Moderately Used","Video Game"
2275,usr306@gt.edu,"Borderlands 2","Gearbox Software, Iron Galaxy Studios   2K Games","Heavily Used","Computer Game"
2276,usr306@gt.edu,MicroBot,"Shooter   Naked Sky Entertainment","Lightly Used","Video Game"
2277,usr306@gt.edu,"A.R.E.S.: Extinction Agenda",NULL,"Lightly Used","Computer Game"
2278,usr307@gt.edu,"A Demon's Game: Episode 1","RP Studios","Moderately Used","Computer Game"
2279,usr307@gt.edu,"Madden NFL 25","Sports   EA Tiburon","Heavily Used","Video Game"
2280,usr307@gt.edu,"Perfect Dark","Rare   Rare","Like New","Video Game"
2281,usr307@gt.edu,Gladiator,"Avalon Hill  1981","Lightly Used","Board Game"
2282,usr308@gt.edu,"XXXenophile	","Slag-Blah Entertainment/Studio Foglio   ","Heavily Used","Card Game"
2283,usr308@gt.edu,"Madballs in Babo: Invasion","Shooter   Playbrains","Moderately Used","Video Game"
2284,usr308@gt.edu,"Adrift (video game)","Three One Zero   505 Games",Mint,"Computer Game"
2285,usr308@gt.edu,Cinderella,NULL,"Moderately Used","Jigsaw Puzzle"
2286,usr308@gt.edu,"Batman: Arkham Asylum","Rocksteady Studios   Warner Bros. Interactive Entertainment","Lightly Used","Computer Game"
2287,usr308@gt.edu,"Betrayal at Krondor","Dynamix   Dynamix, Activision, Sierra Entertainment","Like New","Computer Game"
2288,usr308@gt.edu,"Suzanne Stofflet (riddles)",27/50,Mint,"Jigsaw Puzzle"
2289,usr308@gt.edu,"Sid Meier's Railroads!","Firaxis Games, Feral Interactive   2K Games, Feral Interactive","Moderately Used","Computer Game"
2290,usr308@gt.edu,"Geek Fight! ","Diving Dragon Games   ","Moderately Used","Card Game"
2291,usr308@gt.edu,"Mario Tennis 64JP","Camelot   Nintendo","Lightly Used","Video Game"
2292,usr308@gt.edu,kkrieger,.theprodukkt,"Heavily Used","Computer Game"
2293,usr308@gt.edu,"Trok ",NULL,"Moderately Used","Card Game"
2294,usr309@gt.edu,"Acceleration of Suguri X Edition","Orange Juice   Rockin' Android","Like New","Computer Game"
2295,usr309@gt.edu,"Battlefield 1942: The Road to Rome","Digital Illusions CE   Electronic Arts","Lightly Used","Computer Game"
2296,usr309@gt.edu,"Might & Magic: Clash of Heroes HD","Role Playing   Capybara Games",Mint,"Video Game"
2297,usr309@gt.edu,"Age of Pirates 2: City of Abandoned Ships","Akella   Playlogic","Damaged/Missing parts","Computer Game"
2298,usr309@gt.edu,"Assyrian Wars","Udo Grebe Gamedesign  2005",Mint,"Board Game"
2299,usr309@gt.edu,"Brothers in Arms: Road to Hill 30","Gearbox Software   Ubisoft","Like New","Computer Game"
2300,usr309@gt.edu,"Kick-Ass: The Game","Frozen Codebase   Unreleased","Lightly Used","Video Game"
2301,usr309@gt.edu,"Age of Empires III","Ensemble Studios   Microsoft Game Studios","Like New","Computer Game"
2302,usr309@gt.edu,"Wakfu Trading Card Game	","Ankama Games/Upper Deck   ","Damaged/Missing parts","Card Game"
2303,usr309@gt.edu,"Jikkyou Powerful Pro Yakyuu 2011",NULL,"Damaged/Missing parts","Video Game"
2304,usr309@gt.edu,"A Day in the Woods","RetroEpic Software","Lightly Used","Computer Game"
2305,usr309@gt.edu,"Persona 4 Golden","Atlus   Sega","Like New","Computer Game"
2306,usr310@gt.edu,"Bratz Fashion Party Fever Game","Upper Deck   ","Damaged/Missing parts","Card Game"
2307,usr310@gt.edu,"Horus Heresy","Sabertooth Games   ","Like New","Card Game"
2308,usr310@gt.edu,Kabal,"MultiSim   ","Damaged/Missing parts","Card Game"
2309,usr310@gt.edu,"NBA in the Zone 2JP","KCEO   Konami","Moderately Used","Video Game"
2310,usr310@gt.edu,"Empire Earth III","Mad Doc Software   Sierra Entertainment","Moderately Used","Computer Game"
2311,usr310@gt.edu,"Williams Entertainment","WilliamsNA   ",Mint,"Video Game"
2312,usr310@gt.edu,"Baldur's Gate II: Shadows of Amn","BioWare   Black Isle Studios, Interplay Entertainment","Damaged/Missing parts","Computer Game"
2313,usr310@gt.edu,"Killing Floor","Tripwire Interactive","Like New","Computer Game"
2314,usr310@gt.edu,"Wizard in Training ","Upper Deck   ","Moderately Used","Card Game"
2315,usr311@gt.edu,"Suzanne Stofflet (riddles)",27/50,"Like New","Jigsaw Puzzle"
2316,usr311@gt.edu,"Assassin's Creed Valhalla","Ubisoft Montreal   Ubisoft","Heavily Used","Computer Game"
2317,usr311@gt.edu,"World of Warcraft: Legion","Blizzard Entertainment","Like New","Computer Game"
2318,usr311@gt.edu,"Metal Slug XX","Classics   SNK","Moderately Used","Video Game"
2319,usr311@gt.edu,"Payday: The Heist","Overkill Software   Sony Online Entertainment",Mint,"Computer Game"
2320,usr311@gt.edu,"Baldur's Gate: Tales of the Sword Coast","BioWare   Black Isle Studios, Interplay Entertainment","Like New","Computer Game"
2321,usr311@gt.edu,"Final War Tactical Card Game ",NULL,"Damaged/Missing parts","Card Game"
2322,usr311@gt.edu,"Age of Empires II: The Forgotten","Skybox Labs, Forgotten Empires LLC   Microsoft Game Studios","Heavily Used","Computer Game"
2323,usr311@gt.edu,"Diggers at Work ","Multipack Jigsaw Puzzle By Ravensburger NEW","Damaged/Missing parts","Jigsaw Puzzle"
2324,usr311@gt.edu,"Suzanne Stofflet (riddles)",27/50,"Damaged/Missing parts","Jigsaw Puzzle"
2325,usr311@gt.edu,"Power Rangers Lightspeed Rescue","Mass Media Games   THQ","Like New","Video Game"
2326,usr311@gt.edu,"StarCraft II: Heart of the Swarm","Blizzard Entertainment","Damaged/Missing parts","Computer Game"
2327,usr312@gt.edu,"HunTik ",NULL,"Lightly Used","Card Game"
2328,usr312@gt.edu,"Might & Magic: Duel of Champions - Forgotten Wars","Strategy & Simulation   Ubisoft","Like New","Video Game"
2329,usr312@gt.edu,"James Bond 007: Blood Stone",NULL,"Moderately Used","Video Game"
2330,usr312@gt.edu,Champions,"F.X. Schmid/Gibsons Games   ",Mint,"Card Game"
2331,usr313@gt.edu,"Magic: The Gathering 2015","Card & Board   Stainless Games","Heavily Used","Video Game"
2332,usr313@gt.edu,"Phantom Doctrine","CreativeForge Games   Good Shepherd Entertainment","Moderately Used","Computer Game"
2333,usr313@gt.edu,"Midway Studios - San Diego","Midway Home EntertainmentNA   ","Lightly Used","Video Game"
2334,usr313@gt.edu,"Thomas & Friends Thomas the Tank Engine","Floor Puzzle For Kids By Ravensburger","Moderately Used","Jigsaw Puzzle"
2335,usr314@gt.edu,"Metal Gear Solid V: Ground Zeroes",NULL,"Lightly Used","Video Game"
2336,usr314@gt.edu,"Vandaria Arkana ","Vandaria   ","Heavily Used","Card Game"
2337,usr314@gt.edu,"Battleground 10: Middle East",TalonSoft,"Lightly Used","Computer Game"
2338,usr314@gt.edu,"Buffy the Vampire Slayer Collectible Card Game ",NULL,"Lightly Used","Card Game"
2339,usr314@gt.edu,"NBA Live 2000","EA Canada   ",Mint,"Video Game"
2340,usr314@gt.edu,"Silkroad Online","Joymax   Joymax, Yahoo!","Lightly Used","Computer Game"
2341,usr314@gt.edu,"Ganbare Goemon Derodero Dochu Obake Tenko MoriJP","KCEO   Konami","Like New","Video Game"
2342,usr314@gt.edu,Braid,NULL,"Like New","Computer Game"
2343,usr315@gt.edu,"PD Ultraman Battle Collection 64","Bandai   Bandai Games","Lightly Used","Video Game"
2344,usr315@gt.edu,"Hyborian Gates ","CARDZ   ","Like New","Card Game"
2345,usr315@gt.edu,"Age of Empires II: The Conquerors","Ensemble Studios   Microsoft Game Studios, Konami","Lightly Used","Computer Game"
2346,usr315@gt.edu,"NBA Hangtime","Midway Games   Midway Home EntertainmentNA","Lightly Used","Video Game"
2347,usr315@gt.edu,"Babylon 5 Collectible Card Game ","by Precedence Entertainment   ","Lightly Used","Card Game"
2348,usr315@gt.edu,"Achtung Spitfire!","Big Time Software   Avalon Hill","Like New","Computer Game"
2349,usr315@gt.edu,"Accounting (video game)","Crows Crows Crows","Lightly Used","Computer Game"
2350,usr315@gt.edu,"Suzanne Stofflet (mystery)",50/50,"Like New","Jigsaw Puzzle"
2351,usr316@gt.edu,"The Conquerors: Alexander the Great","GMT Games  2006","Damaged/Missing parts","Board Game"
2352,usr316@gt.edu,"Silent Hunter","Aeon Electronic Entertainment   Strategic Simulations","Like New","Computer Game"
2353,usr316@gt.edu,"Battlefield 1942","Digital Illusions CE   Electronic Arts","Heavily Used","Computer Game"
2354,usr316@gt.edu,"Aeroplane Chess","China  Single six-sided die","Damaged/Missing parts","Board Game"
